#{"t_start": 1768383601.3568466, "env_id": "None"}
r,l,t
-234.72978,1527,8.377703
-236.27985,1372,11.358179
-234.64983,1535,14.395715
-236.2399,1376,15.638806
-236.82988,1317,18.38026
-237.32993,1267,21.118065
-237.18002,1282,22.269651
-235.01997,1498,25.303627
-4.999531,3000,29.588545
9887.759,2783,35.256596
49.996906,3000,39.528265
9889.459,1954,43.124278
9869.452,963,45.990975
-4.9994736,3000,50.687391
0.00044828653,3000,56.564983
15.000466,3000,60.87974
20.000483,3000,66.6558
-221.1298,1387,67.886541
-235.39983,1460,70.778391
30.000587,3000,75.025373
-222.3298,1267,77.766376
34.99992,3000,82.010886
9921.201,2629,87.62374
-234.98978,1501,89.031043
9933.729,1389,91.916702
-235.1798,1482,94.95196
10124.99,3000,99.324859
9917.942,2302,103.04572
9943.657,1393,105.976943
9884.83,2487,109.8011
9932.426,2256,113.469082
9988.11,1836,116.764243
49.997807,3000,122.591822
69.99856,3000,126.950532
0.00040632486,3000,132.860817
9900.257,2034,136.203719
9982.809,1310,137.402511
-4.999405,3000,143.312637
9895.348,1548,146.362845
44.99816,3000,150.640164
0.0004349351,3000,156.505046
10174.888,3000,160.74794
9914.201,1429,163.732655
9975.419,2555,167.594927
-234.97986,1502,170.490504
10324.381,3000,174.774844
-236.46992,1353,177.558533
9923.551,1375,178.838209
-235.06976,1493,181.767967
-235.15977,1484,185.000726
30.000559,3000,189.318744
20244.549,1968,192.674787
9894.672,984,195.287645
9894.006,2408,199.014991
9946.819,1697,202.126893
9979.946,1520,205.209634
10.000365,3000,209.618304
35.000057,3000,215.76125
9962.851,2301,219.569595
9925.795,1101,220.588069
95.0033,3000,226.720895
64.996544,3000,231.05553
80.00316,3000,237.090366
9922.366,1253,238.241601
20152.463,1761,241.454381
85.00221,3000,247.469311
39.999016,3000,251.790375
9932.712,2282,255.536337
9966.022,2618,259.549644
10159.96,3000,265.442757
9928.442,1365,268.285646
10184.895,3000,272.540895
10244.825,3000,276.919466
10199.966,3000,282.767984
10374.36,3000,287.135927
10.000365,3000,293.002922
20454.654,3000,297.378753
9997.61,2280,301.02396
9967.954,1320,303.823886
100.00467,3000,309.671443
39.99996,3000,314.046761
20140.15,2033,317.46034
9955.41,1564,320.473342
9943.524,1379,321.706865
9875.307,1045,324.262994
9917.451,1267,327.048686
20221.035,2663,331.166402
9920.678,2576,335.213444
9933.196,2332,338.907373
9965.513,1571,341.908989
9950.137,1533,345.034715
9900.67,1083,346.058199
10229.33,3000,352.108973
10010.284,2547,356.137494
10409.689,3000,360.492282
10011.63,1186,363.122537
10044.965,1516,366.115677
10114.971,3000,370.396577
10139.937,3000,376.201941
9858.84,901,377.023848
20494.807,3000,382.928985
9963.554,1869,386.291176
9996.801,2694,390.337207
10058.909,2913,394.616495
69.999054,3000,400.334235
25.000542,3000,404.586326
10364.463,3000,410.346173
25.000412,3000,414.691641
9978.78,1402,417.598078
10334.363,3000,421.930384
10139.982,3000,427.887616
9970.128,1531,429.290144
10059.842,1507,432.236113
10349.392,3000,438.056967
10032.202,1237,439.174043
20.000383,3000,445.125498
9882.89,1302,446.306329
25.000582,3000,452.177507
10249.888,3000,456.653734
20434.389,3000,462.516315
9977.855,1808,465.758069
20589.424,3000,470.015294
10214.91,3000,475.821076
9868.951,911,476.647592
10279.338,3000,480.835174
9937.312,1256,483.739285
20316.861,1715,486.996662
35.00039,3000,491.427083
20376.508,1688,494.585914
9925.255,1041,497.114135
9941.451,1169,498.198322
9996.691,2186,501.849991
20247.076,2732,507.806069
54.99719,3000,512.268638
20219.627,1494,515.322922
20489.521,3000,519.615299
20152.65,1289,522.309118
20198.646,2392,526.147308
9945.065,1522,529.016917
10004.211,1948,532.597583
20178.42,1367,535.485336
9921.383,1648,537.01255
20512.371,2277,540.671221
9926.08,2618,546.277851
10039.83,1508,547.758248
9973.424,1367,550.575113
20405.723,2098,554.130155
20269.96,2042,558.839468
20231.2,1651,562.416279
10119.969,3000,568.339699
20391.72,2699,575.421608
20302.693,1798,583.406995
30720.037,2555,587.791358
20287.238,1763,591.121438
20234.455,1476,592.517488
10016.739,1687,595.879663
20256.045,1633,599.198273
20189.262,1948,602.785152
9936.681,1679,606.012444
30652.17,2774,610.334446
10409.476,3000,616.400495
20134.598,1487,617.745558
20212.812,1809,621.00725
9977.51,1769,624.283442
20220.22,2066,628.006273
30705.84,2122,631.692666
10009.986,1527,634.887756
10043.354,1361,637.88841
9870.997,1113,638.942725
10274.42,3000,644.827727
10017.945,2811,649.045351
20224.07,2944,653.288077
20644.402,3000,659.332957
20649.639,3000,663.671502
10010.303,1052,666.308658
20288.037,1824,669.543253
9899.149,931,670.406357
20393.191,2863,676.323019
20744.379,3000,680.66727
20283.904,2944,686.654137
20369.635,2002,688.537869
20337.87,2844,694.602466
20438.48,2899,699.224248
9903.441,863,701.769386
9888.298,846,702.560481
20455.117,2554,706.806768
20164.36,1458,709.900242
20360.326,2577,713.996996
9933.724,1391,716.949767
9921.576,1177,719.711313
9916.494,2658,723.722734
10349.8,3000,728.068815
9872.003,716,730.332112
30762.207,2782,734.63386
9861.292,643,735.210962
20280.887,1109,737.861335
20694.88,3000,742.126853
20198.979,1429,745.161817
30959.404,3000,751.151633
20386.908,2223,754.840955
9921.721,1192,755.929588
30943.834,2936,761.73217
5.000403,3000,766.044719
20334.342,3000,771.89968
9915.616,2076,775.480021
10019.226,1935,778.859949
20355.965,2644,782.854868
9878.916,908,783.71702
9878.998,915,786.157893
20769.637,3000,790.822228
9900.646,1081,793.445739
20190.197,1544,794.960611
9867.715,786,797.292466
20157.525,1790,800.567335
10022.625,1790,803.917062
20769.473,3000,808.512563
30697.684,2312,812.52534
20344.852,3000,818.53741
10017.04,1223,819.675053
20341.287,1657,822.825851
20249.773,2009,826.458479
20457.258,2764,830.677168
20307.162,1740,834.019847
20332.65,2300,838.092601
9910.04,1512,841.26904
9908.515,1360,844.318173
30635.03,2547,848.482635
30565.564,2601,852.470188
20447.115,1747,855.806911
20146.74,1197,858.569827
20302.074,2231,862.218199
9985.823,1106,863.193453
9999.958,1016,865.764439
30529.252,1963,869.119282
20280.209,1548,872.235565
9898.873,1894,874.069446
30546.436,2185,879.287239
10021.495,1168,880.372528
9893.943,1406,883.358198
20239.06,1420,884.784132
20223.945,1422,887.994828
31309.396,3000,894.308956
20169.084,1433,895.664122
9905.213,1036,898.351057
20121.701,1191,899.4997
9941.638,1674,902.706721
9919.225,1437,905.771587
10339.688,3000,910.216679
20302.457,1782,913.35591
9869.602,975,915.88596
9867.377,752,916.570268
20282.805,2310,920.231946
20235.486,1581,923.297856
20141.604,1182,925.947709
30703.096,2351,929.657861
9972.681,1291,930.831714
10006.322,1151,933.415059
20245.87,1607,936.493384
20145.748,1608,939.558964
20115.318,1051,940.51759
20438.525,2395,944.39202
9888.498,1859,947.737694
20239.668,1498,950.749509
10027.2705,1745,954.066498
30627.496,1785,957.354024
30597.795,2327,961.307195
20233.744,1402,962.671155
20169.955,2537,968.371889
30611.045,2142,972.016746
9978.824,901,972.837341
30662.682,1292,975.627369
20482.762,2312,979.329552
30483.209,1848,982.584343
20154.79,1508,985.565449
10042.877,1307,986.72714
20087.822,1291,989.427215
20235.893,1618,992.58048
9898.666,884,993.383021
30784.61,2517,997.372719
20142.705,1295,1000.218588
30572.998,1839,1003.393115
20233.09,1847,1006.690087
30944.414,3000,1010.983066
9893.224,837,1013.352284
9989.704,987,1014.289975
20208.176,1853,1017.680063
20188.242,1352,1020.616076
20213.951,2451,1024.644737
20143.799,1408,1026.001895
20244.453,1975,1029.414097
9981.728,1193,1032.21181
20332.96,1826,1035.592762
20316.895,1718,1038.730093
20389.285,1456,1040.059577
20313.996,2424,1045.433021
20313.164,2877,1049.741072
20258.906,1419,1052.601137
20161.607,1182,1053.655864
30731.338,2174,1057.29268
9885.639,1570,1060.366289
9896.026,2107,1064.008602
20223.9,1406,1066.895159
20116.457,2194,1070.38105
20290.645,1589,1073.430191
20092.145,1232,1074.58438
20189.09,1440,1077.468028
9892.125,1221,1080.285908
20220.055,1026,1081.244384
9986.776,1203,1084.004143
20250.502,1071,1084.999073
20266.283,1651,1088.177518
20162.871,1311,1091.002631
20298.193,2373,1094.846514
9891.25,1147,1095.900993
9893.364,850,1098.332356
20109.152,1428,1099.648616
20119.879,1005,1102.131531
20280.068,2035,1105.641492
20264.18,1449,1108.562474
20278.059,1842,1111.855316
30588.543,1881,1115.226187
20246.332,2663,1119.23822
20345.578,2602,1123.265041
20095.475,1069,1125.874484
9901.509,1161,1126.943252
30478.838,1408,1129.811926
20216.715,1693,1133.130231
20396.703,1708,1136.521699
20218.436,1372,1137.821378
20202.182,1742,1141.117309
20260.066,1539,1144.222094
9989.678,986,1145.113814
20292.295,2261,1148.982694
30523.777,2415,1155.171804
9888.729,890,1156.064303
20273.908,1413,1159.255961
9909.716,1488,1160.788317
10037.024,1226,1163.846836
9890.464,1553,1167.205812
20168.158,1830,1170.598275
20112.76,1294,1171.854061
20144.941,2551,1177.660253
9883.858,900,1178.504608
30675.633,2092,1182.14708
20184.008,2420,1186.118322
20148.506,1380,1189.036703
20142.564,1277,1190.209124
20206.928,1217,1192.921366
9885.973,2602,1196.938439
30616.746,1702,1200.185357
9899.975,1018,1203.007925
20311.252,1652,1204.715021
9993.312,1357,1207.652398
30552.168,2259,1211.418905
9989.534,1483,1214.489369
9867.706,783,1215.229112
20281.062,1632,1218.636995
20113.049,1328,1221.563932
9878.931,903,1222.399329
20071.863,1212,1225.153833
20275.271,1550,1228.218852
20177.305,1252,1229.362046
20148.113,1332,1232.285172
20407.738,1805,1235.912697
9938.041,1318,1237.280012
20237.11,1237,1240.435283
20129.463,1988,1244.271273
9942.28,1251,1247.335517
20291.693,2207,1251.098162
20421.977,2239,1254.912447
30814.36,2480,1259.149099
20209.281,947,1260.075053
20236.168,2154,1263.836788
10001.929,1714,1267.152156
30736.086,1637,1270.537161
10005.456,1555,1273.709739
30565.396,2579,1278.311553
20158.15,1343,1281.452869
9879.008,916,1282.312543
10003.976,1421,1285.645983
30674.32,2994,1290.23676
30565.041,2555,1296.195514
20565.719,2612,1300.33234
20287.102,1737,1303.63388
20372.926,1825,1307.065365
20300.748,1592,1308.606716
20273.994,2419,1314.434379
20213.334,2375,1318.727342
20182.404,1775,1322.313042
9918.807,1392,1323.978356
20452.37,2270,1328.06367
30595.021,2038,1331.753626
20149.389,1469,1334.898065
20401.92,1723,1338.419476
20401.588,2197,1342.464754
30729.088,2447,1346.743674
30622.375,2792,1353.161132
20349.877,2025,1357.020031
9892.348,1248,1358.261444
9943.62,1377,1361.45448
20242.01,1222,1362.669733
9989.08,1437,1365.789094
10046.376,1652,1369.070726
9967.662,2277,1372.727711
20276.338,1667,1376.077879
20122.338,1258,1377.27903
9994.337,1463,1380.260285
20233.691,1392,1383.345989
9918.055,1319,1386.38406
20314.47,1469,1387.793556
9924.766,994,1390.545159
10003.327,1350,1391.803053
9901.708,1185,1394.613672
30755.375,2072,1398.168037
9996.196,1650,1401.435359
9908.903,1400,1402.732612
30542.223,1757,1406.106119
30606.545,2711,1412.389607
20223.55,1878,1415.962879
9917.548,1269,1417.171901
10087.484,1772,1420.53245
10010.229,1042,1423.233589
20384.104,1437,1424.664023
20270.598,1592,1427.955283
20289.764,1509,1430.959154
10012.34,1249,1432.116338
9879.721,992,1434.823946
9917.689,1289,1437.832278
9933.269,1346,1439.180953
9963.467,860,1441.775623
9917.899,1303,1443.021698
20165.273,1551,1446.472837
9995.624,1080,1449.417804
20195.422,1569,1451.083698
20346.387,1667,1454.454363
20185.709,1590,1457.86337
9920.104,1519,1461.201171
10043.545,1380,1462.696869
20121.744,1201,1466.043918
9984.358,1465,1470.275185
30488.812,1906,1474.249214
20214.451,2494,1478.462368
9908.121,1320,1479.70218
20229.936,1513,1482.862446
9916.516,1168,1485.727971
9867.948,810,1486.586105
20309.66,1992,1490.271274
9892.078,1218,1493.039689
20099.182,937,1493.986551
30624.625,1488,1497.17466
20283.648,1388,1500.2376
20134.83,1508,1501.64244
20266.945,1720,1504.999317
9924.258,1442,1508.226283
20111.432,1161,1509.360863
30684.652,2501,1515.649324
9906.178,1132,1516.857745
9905.036,1020,1519.803708
9906.063,1121,1520.89152
20092.264,1253,1523.789557
20232.562,1277,1525.051696
20264.35,1460,1528.258511
20353.96,1424,1531.295866
20151.96,1733,1534.753931
20206.28,1647,1536.427972
9870.317,1041,1539.521312
20115.535,1570,1543.159796
20345.648,1589,1546.836515
10000.49,1571,1548.628537
9898.678,884,1551.594547
20367.275,1757,1555.512174
9977.809,798,1556.365599
20345.064,1536,1560.478095
10019.623,1487,1562.073275
9878.888,906,1565.414066
20130.674,1595,1569.695263
20080.723,1097,1571.066722
20081.98,1213,1574.627584
30636.97,1733,1579.235842
20302.727,1291,1580.696956
20158.412,1361,1583.965437
20178.31,844,1584.782701
20335.8,1615,1588.28514
9908.639,881,1591.25411
9877.603,1268,1592.842734
10031.245,1148,1596.194921
20283.732,1400,1597.983627
9993.44,1356,1601.822071
9893.433,858,1604.660467
10042.095,1234,1605.868275
30595.822,2114,1609.992554
20233.629,1386,1613.173358
30606.107,1641,1617.083277
20215.746,1095,1618.410913
20142.367,1260,1621.454328
20316.324,1155,1622.598911
30626.832,1714,1626.436213
20131.34,1157,1629.633981
9883.336,848,1630.69516
20102.18,1239,1633.932339
9866.452,657,1634.553886
20126.104,1129,1637.715857
20206.018,1119,1638.920557
9989.532,971,1642.847806
20254.082,1433,1644.316318
20250.309,1554,1647.789901
30568.295,1861,1651.692523
20193.127,1842,1655.541474
20335.787,1599,1659.197844
9964.31,943,1660.139341
20164.121,1439,1663.287102
20101.334,1154,1664.491794
20358.146,1341,1667.852377
20240.41,1059,1670.878232
20144.404,957,1671.811284
20263.873,1412,1675.132857
20331.832,1714,1679.002396
10000.252,1046,1680.047439
20289.56,1479,1683.562645
20158.51,1375,1685.04208
9941.398,1157,1688.285562
20136.945,1213,1691.587996
9909.663,1478,1693.248891
20436.283,2166,1697.597589
9867.101,726,1700.343927
20157.705,1290,1701.636243
20134.34,950,1704.484648
20082.182,1240,1705.949945
9883.708,887,1709.120284
20147.465,1265,1712.171448
20134.137,1431,1713.656505
30658.547,1886,1717.624764
20396.44,1670,1721.329919
9907.017,1213,1724.32805
20120.453,1066,1725.50289
20278.42,1373,1728.932029
20124.072,928,1729.866382
20289.877,1517,1733.447462
20142.547,1276,1736.736608
9896.2,1131,1737.853392
9893.435,858,1740.437047
20171.434,1167,1741.545963
9863.481,858,1744.33611
20153.557,1380,1745.7237
10032.024,1224,1748.741829
20343.242,1853,1752.319873
20282.283,1248,1753.59494
20138.168,1340,1756.885535
20344.127,1440,1760.196157
9989.567,971,1761.14181
20265.56,1577,1764.562444
20225.654,1596,1767.988134
20147.803,1818,1771.499465
20337.068,1737,1773.343702
20123.152,1332,1776.840144
9994.5625,975,1779.890296
9988.629,879,1780.778709
10020.642,1081,1783.636765
20132.605,1287,1785.00662
20252.797,1297,1788.245078
20201.29,1143,1789.363535
20498.295,1861,1793.123429
20388.072,1333,1796.591072
30676.256,1659,1800.274548
20390.564,1586,1801.874072
9862.434,759,1804.448714
20310.867,1111,1805.539963
20158.613,1387,1808.838956
20273.531,1886,1812.658847
20155.719,1094,1815.711007
20453.494,1886,1817.707752
10019.356,1448,1820.999157
30624.99,2044,1824.78914
20307.94,1830,1828.408223
20163.988,1424,1831.407136
20166.451,1681,1834.884161
9961.836,1205,1836.077343
20099.824,1002,1838.824165
20170.451,1571,1840.390542
20213.352,1867,1843.995391
30575.305,2064,1847.922895
30765.047,2048,1851.582894
20301.02,1633,1854.977243
9989.764,993,1857.74578
30544.945,2037,1861.319555
41187.234,2251,1865.182431
30744.957,2545,1869.205741
30573.38,1876,1872.539436
20139.1,1433,1875.583998
20211.682,1188,1876.751364
20364.363,1463,1879.928264
20346.217,1650,1883.207056
9968.396,853,1884.044496
30636.344,1669,1887.37048
30761.008,1635,1890.472461
20353.754,1400,1891.7602
20303.691,1393,1894.686666
9889.09,926,1895.546371
20243.564,1382,1898.711512
30591.584,2196,1902.64899
20253.326,1355,1905.876987
20213.066,1330,1908.856996
20137.967,1318,1910.062972
30822.484,2294,1913.809328
9915.908,1110,1916.767174
30635.018,2045,1920.647892
9991.59,1180,1921.814301
9995.1,1028,1924.643341
20139.15,1441,1927.837212
30736.89,2740,1932.121159
10050.133,1537,1935.587748
20360.104,1539,1937.240208
9869.458,959,1939.9742
20430.145,1543,1943.147209
20349.436,1975,1946.871491
20373.826,1409,1948.289759
10015.502,1069,1951.115369
20439.697,2003,1954.84751
30453.1,1339,1958.049516
20254.086,1428,1959.399802
20185.258,1046,1962.088395
20168.232,1348,1963.324459
30599.115,1953,1967.153019
20253.59,1389,1970.269914
9916.179,1137,1973.116997
20343.89,1411,1974.457005
10006.69,1188,1977.357174
20396.629,1696,1980.731587
20293.738,1397,1982.115932
10002.464,1269,1985.061112
20314.28,1966,1988.65081
20355.432,1569,1991.756655
9910.093,1027,1992.725553
9911.063,1121,1995.513728
30695.469,2085,1999.126667
10004.288,948,2000.047491
20204.037,922,2002.588651
9931.293,1153,2003.692753
30510.125,1537,2007.011132
9935.415,1059,2008.016525
30626.047,2145,2013.347571
10005.469,1062,2014.376746
9968.82,898,2016.903351
20085.805,1095,2017.961929
30483.412,1876,2021.42877
9992.279,1247,2024.324311
20190.602,1080,2025.355475
20158.727,1400,2028.427799
9872.398,754,2029.138393
30731.242,2161,2032.737835
20280.688,1594,2035.932381
20237.479,1273,2038.843057
9883.315,1338,2040.062217
10021.294,1152,2042.819814
10021.435,1166,2043.960508
30584.748,2520,2049.877029
9911.152,1133,2050.959857
20276.582,1184,2053.913801
20205.348,1056,2054.922474
20284.24,1965,2058.438787
10053.928,1419,2061.431581
30664.361,2487,2065.455346
30605.604,2103,2069.082581
20264.775,1512,2072.247718
20218.531,1380,2075.170392
20203.264,845,2075.964694
9976.535,1671,2079.121847
9931.203,1140,2080.176597
9908.702,887,2082.656946
20437.867,1824,2086.069247
20327.432,1775,2089.280477
20399.02,1939,2091.091655
9957.286,1250,2093.896162
9906.353,1151,2096.630321
20146.18,1142,2097.71607
20447.166,1753,2101.135599
30626.537,1688,2104.493393
30750.98,1625,2107.717233
10019.318,1453,2109.107059
9991.651,1185,2112.039871
30695.898,2130,2115.731733
20243.984,1424,2118.76956
20244.494,1478,2120.161288
20408.41,1881,2123.600602
20232.318,2257,2127.432377
10032.227,1242,2132.001081
20122.898,1311,2135.122154
20276.666,1689,2138.549732
30484.658,1490,2139.920774
41200.242,2011,2143.466166
20515.566,2097,2147.079703
20232.432,1265,2149.864136
20342.232,1756,2153.063477
9923.592,1376,2154.376684
30684.25,2471,2159.825234
9904.888,1003,2160.745543
30908.127,2357,2164.665088
30688.113,1850,2168.086571
10009.493,967,2170.728372
30758.377,1874,2174.338872
9899.196,935,2175.246383
41158.863,2914,2179.711151
30613.9,1927,2183.327125
30579.812,2018,2187.245306
20158.67,1904,2190.862407
20177.527,1793,2194.192391
20163.387,1366,2197.145678
20193.826,1406,2200.178884
20444.705,2011,2202.195044
20243.053,1326,2205.233886
30883.006,2349,2209.137952
30570.707,2112,2212.776883
20446.07,1642,2215.976744
20150.814,1100,2218.629895
20356.111,1637,2220.134959
20255.979,2140,2223.79528
10040.941,1614,2226.990905
20192.414,1776,2230.361193
9980.31,1048,2232.925113
9914.269,943,2233.864375
30624.623,1490,2236.800585
9914.802,999,2237.699709
9967.691,1290,2240.430347
20121.697,2214,2244.091767
30596.771,1703,2247.296568
20337.605,1792,2250.609492
30553.223,2372,2254.566255
9916.277,1142,2255.660892
30765.717,2115,2261.161789
30810.25,2573,2265.347977
30737.799,1819,2268.853321
31174.408,3000,2273.38499
9930.773,1096,2276.146717
20400.371,2076,2279.78699
20310.096,1544,2281.219637
20284.553,1485,2284.284231
